Schedule of Equipment Rates | FEMA.gov

# Schedule of Equipment Rates 

The rates on this Schedule of Equipment Rates are for applicant-owned equipment in good mechanical condition, complete with all required attachments. Each rate covers all costs eligible under the Robert T. Stafford Disaster Relief and Emergency Assistance Act, 42 U.S.C. § 5121, et seq., for ownership and operation of equipment, including depreciation, overhead, all maintenance, field repairs, fuel, lubricants, tires, OSHA equipment and other costs incidental to operation. Standby equipment costs are not eligible.

Equipment must be in actual operation performing eligible work in order for reimbursement to be eligible. Labor costs of the operator are not included in the rates and should be approved separately from equipment costs.

Information regarding the use of the Schedule is contained in 44 CFR § 206.228 Allowable Costs. Rates for equipment not listed will be furnished by FEMA upon request. Any appeals shall be in accordance with 44 CFR § 206.206 Appeals.

 

Download Past Schedules

2017 rates 2019 rates

2021 rates

2023 Rates

## Search the 2025 Schedule of Equipment Rates

These rates are applicable to major disaster and emergencies declared by the President on or after July 1, 2025.

Download the 2025 Schedule of Equipment Rates

| Cost Code | Equipment | Manufacturer | Specification | Capacity or Size | HP | Notes | Unit | 2025 Rates |
| 8086 | All Terrain Vehicle | Polaris Expedition | 2 seater closed cab | up to 1000CC | up to 125 | new | hour | $34.47 |
| 8087 | All Terrain Vehicle | Polaris Expedition ADV 5 | 5 seater closed cab | up to 1000CC | up to 125 | New | hour | $37.39 |
| 8088 | Drone Atomizer (Sprayer) | DJI AGRAS T50 | Drone comes with Liquid and Dry tanks, batteries, software and other necessary equipment to operate. | 100 pounds Dry & 40 Liters Liquid | | new | hour | $26.27 |
| 8088.1 | Drone Surveillance | Surveillance Drone | Parrot ANAFI USA GOV EDITION | | | New | hour | $11.30 |
| 8111 | Barge, Deck | Miscellaneous 300 - Deck Cargo Barges | 50'x35'x9' | 50'x35'x9' | N/A | Push by Tug-Boat | hour | $48.28 |
| 8112 | Barge, Deck | Miscellaneous Deck 1100 - Deck Cargo Barges | 120'x45'x10-FT | 120'x45'x10-FT | N/A | Push by Tug-Boat | hour | $95.52 |
| 8113 | Barge, Deck | Miscellaneous 1250 - Deck Cargo Barges | 140'x45'x10-FT | 140'x45'x10-FT | N/A | Push by Tug-Boat | hour | $103.95 |
| 8120 | Boat, Tow | Miscellaneous 55 - Tow Boats | 50' - 64' | 50' - 64' | to 870 | Steel | hour | $518.33 |
| 8121 | Boat, Tow | Miscellaneous 60 21 - Tow Boats | 50' - 64' | 50' - 64' | to 1050 | Steel | hour | $607.29 |
| 8122 | Boat, Tow | Miscellaneous 70 30 - Tow Boats | 65' - 99' | 65' - 99' | to 1350 | Steel | hour | $932.62 |
| 8123 | Boat, Tow | Miscellaneous 120 - Tow Boats | 100' - 124'' | 100' - 124'' | to 2000 | Steel | hour | $1,729.83 |
| 8124 | Airboat | 815 AGIS Airboat w/spray unit | | | 556 | | hour | $36.78 |
| 8125 | Airboat | 815 AGIS Airboat w/spray unit | | | 450 | | hour | $33.20 |
| 8126 | Swamp Buggy | ARGO Conquest 800 Outfitter | | | 36 | | hour | $41.97 |
| 8129 | Compactor, 2-ton pavement roller | Bid-well 2450 | to 76' | to 76' | to 40 | | hour | $28.55 |
| 8130 | Boat, Row | Miscellaneous Rowboat | | | N/A | Heavy duty. | hour | $1.09 |
| 8131 | Boat, Runabout | Marine Equipment Runabouts - 13 | | | 60 | | hour | $13.38 |
| 8132 | Boat, Tender | Marine Equipment Tenders - 12 | to 16' | to 16' | to 100 | Inboard with 360 degree drive. | hour | $19.45 |
| 8133 | Boat, Push | Miscellaneous 400 - Push Boats | to 49' | to 49' | to 435 | Flat hull. | hour | $215.37 |
| 8134 | Boat, Push | Miscellaneous 525 - Push Boats | 50' - 74' | 50' - 74' | to 525 | Flat hull. | hour | $267.75 |
| 8135 | Boat, Push | Miscellaneous 705 - Push Boats | 50' - 74' | 50' - 74' | to 705 | Flat hull. | hour | $482.92 |
| 8136 | Boat, Push | Miscellaneous 870 - Push Boats | 50' - 74' | 50' - 74' | to 870 | Flat hull. | hour | $558.97 |
| 8137 | Boat, Debris Removal Skiff | Debris Removal Skiff | Length 48' | Length 48' | to 200 | New 2023 rate | hour | $164.32 |
| 8138 | Boat, Jet | Boat, Jet (Woolridge Xtra Plus Inboard) | Length 20' 4" | Length 20' 4" | to 100 | Shallow Draft | hour | $10.87 |
| 8140 | Boat, Tug | Miscellaneous 100 - Inland Tug Boats | Length 16' | 16' | to 100 | Shallow Draft | hour | $74.20 |
| 8141 | Boat, Tug | Miscellaneous 175 - Inland Tug Boats | Length 18' | 18' | to 175 | With Steering Nozzle | hour | $95.34 |
| 8142 | Boat, Tug | Miscellaneous 250 - Inland Tug Boats | Length 26' | 26' | to 250 | With Steering Nozzle | hour | $134.25 |
| 8143 | Boat, Tug | Miscellaneous 380 - Inland Tug Boats | Length 40' | 40' | to 380 | Standard Rudder | hour | $244.03 |
| 8144 | Boat, Tug | Miscellaneous 700 - Inland Tug Boats | Length 51' | 51' | to 700 | Twin Screw | hour | $390.09 |
| 8145 | Jet Ski | Yamaha VX | Gasoline | Gasoline | | | hour | $9.06 |
| 8147 | Boat, Inflatable Rescue Raft | Zodiac C310 Solid 102? | | Diesel | | | hour | $0.93 |
| 8148 | Boat, Runabout | Marine Equipment Runabouts - 13 | Gasoline | Gasoline | | | hour | $64.80 |
| 8149 | Boat, removable engine | 2000 Johnson Outboard Motor | Gasoline | Gasoline | | | hour | $2.03 |
| 8149.1 | Boat, Recreational | Outboard motor | Center console with up to 3 outboard motors | 36' long | | | hour | $48.65 |
| 8149.2 | Boat, Recreational | Outboard motor | Center console with up to 2 outboard motors | 36' long | | | hour | $44.02 |
| 8149.3 | Boat, Police | Length 25' | Full Cabin Boat for patrols, response, port security, law enforcement and search and rescue (SAR). Boat can be equiped with various brand and tupe outboard motors. | 25' long | | | hour | $34.50 |
| 8150 | Self Propelled Pavement Brooms | Lay-Mor 6HC/8HC | | | to 37 | | hour | $53.65 |
| 8151 | Broom, Pavement, Mounted | Miscellaneous TRAC MOUNT PTO DRIVE - For Mounting Pavement Brooms | 72" | 72" | | | hour | $4.07 |
| 8153 | Self Propelled Pavement Brooms | Broce RC-350 (disc. 2011) | 96" | 96" | to 100 | Add Prime Mover cost for total rate | hour | $5.49 |
| 8154 | Broom, Pavement, Pull | Miscellaneous TRACTION PT - Pull Type Pavement Brooms | 84" | 84" | to 20 | | hour | $40.44 |
| 8154.1 | Skid Steer for Broom | Bobcat 453 (disc. 2001) | | | | | hour | $24.86 |
| 8155 | Self Propelled Pavement Brooms | Terramite TSS46 | 6 or 8-FT broom heads | | to 35 | | hour | $35.65 |
| 8157 | Sweeper, Pavement | Elgin - Pelican SE | 66" & 36" broom widths, 3.6-CY hopper | | to 110 | | hour | $100.34 |
| 8158 | Sweeper, Pavement | Five Star - Broom Bear | Max 120 sweep width, 4.5-CY hopper | | to 230 | | hour | $123.69 |
| 8180 | Bus | | | | 185 | | hour | $32.34 |
| 8181 | Bus | | | | 100 | | hour | $31.26 |
| 8182 | Bus | | | | 230 | | hour | $53.70 |
| 8183 | Blower | | | | 27 | | hour | $20.63 |
| 8183.1 | Mosquito Sprayer | Adapco - Guardian 95 ES | to 186 CFM | | | | hour | $18.19 |
| 8184 | Back-pack Blower | | | | | | hour | $7.22 |
| 8185 | Walkbehind Blower | | | | 13 | | hour | $2.06 |
| 8187 | Chainsaw | Bar Length = 20" | 3.0 cu in | 3.0 cu in | to 3 | Heavy Duty | hour | $3.23 |
| 8188 | Chainsaw | Bar Length = 20" | 5.0 cu in | 5.0 cu in | to 6 | Heavy Duty | hour | $3.65 |
| 8189 | Chainsaw | Bar Length = 20" | 6.0 cu in | 6.0 cu in | to 7 | Heavy Duty | hour | $1.72 |
| 8190 | Chainsaw | Bar Length = 16" | 2.5 cu in | 2.5 cu in | to 2 | Light Duty | hour | $1.71 |
| 8191 | Chainsaw | Bar Length = 25" | 7.0 cu in | 7.0 cu in | to 9 | Heavy Duty | hour | $4.81 |
| 8192 | Chainsaw, Pole | Bar Length = 18" | | | N/A | Hydraulic | hour | $2.52 |
| 8193 | Skidder, Log | 2023 DEERE 648L II | | | to 237 | | hour | $113.03 |
| 8194 | Skidder, Log | 2022 DEERE 748L II | | | to 263 | | hour | $210.67 |
| 8195 | Cutter, Brush | 2023 Barko 930B Wheel Mulcher | | | to 320 | | hour | $174.37 |
| 8198 | Buncher, Cutter | Caterpillar 511 Feller Buncher | 26.6 ft reach | | to 247 | | hour | $155.70 |
| 8199 | Log Trailer | Log Trailer (Fixed Gooseneck Trailer Level 3 40) | 40 tons | | | | hour | $14.41 |
| 8199.1 | Log Splitter | PowerPro 25-Ton Log Splitter | | Kohler SH265 196cc 6.5 Gross HP Horizontal Engine | 6.5 | Trailer Mounted. | | $6.48 |
| 8200 | Chipper, Brush | Vermeer BC900XL Brush Chipper | | Material Capacity 9 in Thickness 1 in Diameter 33 in | 35 | Trailer Mounted. | hour | $24.04 |
| 8201 | Chipper, Brush | Vermeer BC1000XL Brush Chipper | | Material Capacity 12 in Width 20 in Thickness .4 in Diameter 20 in | 74 | Trailer Mounted. | hour | $29.70 |
| 8202 | Chipper, Brush | Vermeer BC1500 Brush Chipper | | Material Capacity 15 in Width 22 in Thickness .4 in Diameter 22.5 in | 130 | Trailer Mounted. | hour | $54.11 |
| 8203 | Chipper, Brush | Vermeer BC1800XL Brush Chipper | | Material Capacity 19 in Width .5 in Thickness 26.1 in Diameter 36 in | 173 | Trailer Mounted. | hour | $74.92 |
| 8208 | Loader - Tractor - Knuckleboom | 2022 Barko 595ML Crawler Mounted Log Loader | 7,770 lbs (32' radius) to 38,180 lbs 12' radius | | | | hour | $150.01 |
| 8210 | Clamshell & Dragline, Crawler | 2023 TADANO MANTIS GTC 700 | 70 Ton Tele Crawler 118 Feet of Main Boom Cummins Diesel Engine 36" Track Pads Two Winches With 3/4 Wire Rope Tadano AML LMI System | 70 Ton | to 260 | Bucket not included in rate. | hour | $127.42 |
| 8211 | Clamshell & Dragline, Crawler | Tadano GT-1200XL-2 | Specs - MAX. CRANE CAPACITY: 120USt - MAIN BOOM LENGTH: 41ft 167.3ft - BOOM EXTENSION: 33.8ft 58.7ft - MAX. COUNTERWEIGHT: 55,100lbs - OUTRIGGER BASES: 23,5ft x 19,6ft - HOIST LINE PULL: 21,800lbs - MAX RADIUS: 185ft - MAX. MAIN BOOM LENGTH: 167.3ft - GVM: 89,900lbs - DIMENSIONS: 48.56ft L x 8.5ft W x 12.3ft H - ENGINE: Cummins X12 | 120 Ton | to 520 | Bucket not included in rate. | hour | $202.51 |
| 8212 | Clamshell, Truck mounted | American 5530 | to 150,000 lbs | | to 240 | | hour | $114.56 |
| 8218 | BOMAG Compactor | BW100AD-3 | | | to 33 | | hour | $45.79 |
| 8219 | Compactor -2-Ton Pavement Roller | Single Drum Vibratory Compactor | | | | | hour | $33.24 |
| 8220 | Compactor, Hand Held | Miscellaneous Hand Held Vibratory Compactor | | to 2.9 Ton | to 28 | | hour | $15.52 |
| 8221 | Compactor, towed, vibratory drum | Blue Diamond Skid Steer Vibratory Roller | Smooth or Pad Foot | Smooth Drum Width 84" | | | Plus Skid Steer | hour | $27.01 |
| 8222 | Compactor, vibratory drum | 2013 BOMAG BW-120AD-4 (disc. 2013) | Drum Width 47.2" | Drum Width 47.2" | to 75 | | hour | $39.01 |
| 8223 | Compactor, pnuematic, wheel | BOMAG BW11-RH | 68" width | | to 100 | Cummins 4B3.3TA 85-HP Engine | hour | $114.91 |
| 8224 | Vibratory Compactor | CATERPILLAR CP-563D (disc. 2003) | Drum Width 51" | Drum Width 51" | to 145 | Single Drum | hour | $124.72 |
| 8225 | Compactor, Sanitation | Caterpiller 816 | | 12 FT Blade | 284 | | hour | $197.35 |
| 8226 | Compactor, Sanitation | Caterpiller 826 | | 14 FT Blade | 435 | | hour | $243.88 |
| 8227 | Compactor, Sanitation | Caterpiller 836 | | 17 FT Blade | 562 | | hour | $400.69 |
| 8228 | Compactor, towed, pneumatic, wheel | Miscellaneous | | | N/A | 11-Wheels (Towed) | hour | $14.94 |
| 8229 | Compactor, Towed Steel Drum Static Compactor | Miscellaneous | | | N/A | | hour | $21.50 |
| 8240 | Feeder, Grizzly | Misc Vibratory Grizzly Feeder, 35" x 14', single deck | | | to 35 | | hour | $23.01 |
| 8241 | Feeder, Grizzly | Misc Vibratory Grizzly Feeder, 52" x 20', single deck | | | to 55 | | hour | $29.27 |
| 8242 | Feeder, Grizzly | Misc Vibratory Grizzly Feeder, 62" x 30', double deck | | | to 75 | | hour | $60.04 |
| 8250 | Dozer, crawler | CAT D1 | | | to 80 | | hour | $60.28 |
| 8251 | Dozer, crawler | CAT D3 | | | to 104 | | hour | $74.10 |
| 8252 | Dozer, crawler | CAT D4 | | | to 130 | | hour | $99.70 |
| 8253 | Dozer, crawler | CAT D6 | | | to 215 | | hour | $160.75 |
| 8254 | Dozer, crawler | CAT D8 | | | to 363 | | hour | $242.63 |
| 8255 | Dozer, crawler | CAT D9 | | | to 452 | | hour | $360.30 |
| 8256 | Dozer, crawler | CAT D11 | | | to 850 | | hour | $550.14 |
| 8260 | Dozer, wheel | CAT 814 | | | Tto 250 | | hour | $106.02 |
| 8261 | Dozer, wheel | CAT 824 | | | to 405 | | hour | $170.28 |
| 8262 | Dozer, wheel | CAT 834 | | | to 496 | | hour | $308.97 |
| 8263 | Dozer, wheel | CAT 844 | | | to 732 | | hour | $402.76 |
| 8269 | Box Scraper | 84" Rome Model 5C Pull Scraper | 4.1 cu yd | | | | hour | $18.41 |
| 8270 | Bucket, Clamshell | Heiden HC30133 Super Clamshell Bucket | 1.0 CY | 1.0 CY | N/A | Includes teeth. Does not include Clamshell & Dragline | hour | $3.65 |
| 8271 | Bucket, Clamshell | Anvil Attachments 3 Yard Clamshell Bucket | 3 CY | 4 CY | N/A | Includes teeth. Does not include Clamshell & Dragline | hour | $6.80 |
| 8272 | Bucket, Clamshell | Anvil Attachments 5 Yard Clamshell Bucket | 5.0 CY | 5.0 CY | N/A | Includes teeth. Does not include Clamshell & Dragline | hour | $10.19 |
| 8273 | Bucket, Clamshell | Miscellaneous 7-1/2S | 7.5 CY | 7.5 CY | N/A | Does not include Clamshell & Dragline | hour | $15.09 |
| 8275 | Bucket, Dragline | Miscellaneous 2L | 2.0 CY | 2.0 CY | N/A | Does not include Clamshell & Dragline | hour | $3.36 |
| 8276 | Bucket, Dragline | Miscellaneous 5L | 5 CY | 5 CY | N/A | Does not include Clamshell & Dragline | hour | $6.49 |
| 8277 | Bucket, Dragline | Miscellaneous 10L | 10 CY | 10 CY | N/A | Does not include Clamshell & Dragline | hour | $11.81 |
| 8278 | Bucket, Dragline | Miscellaneous 14M | 14 CY | 14 CY | N/A | Crawler, Truck & Wheel. Includes bucket. | hour | $16.53 |
| 8280 | Excavator, Hydraulic | Caterpillar 305 CR | | | to 45 | Crawler, Truck & Wheel. Includes bucket. | hour | $57.14 |
| 8281 | Excavator, Hydraulic | Caterpillar 313 GC | | | to 90 | Crawler, Truck & Wheel. Includes bucket. | hour | $95.01 |
| 8282 | Excavator, Hydraulic | Caterpillar 320 GC | | | to 150 | Crawler, Truck & Wheel. Includes bucket. | hour | $107.93 |
| 8283 | Excavator, Hydraulic | Caterpillar 330 GC | | | to 201 | Crawler, Truck & Wheel. Includes bucket. | hour | $150.99 |
| 8284 | Excavator, Hydraulic | Caterpillar 340 GC | | | to 350 | Crawler, Truck & Wheel. Includes bucket. | hour | $291.49 |
| 8285 | Excavator, Hydraulic | Caterpillar 395 | | | to 550 | Crawler, Truck & Wheel. Includes bucket. | hour | $336.18 |
| 8287 | Excavator, Truck Mounted | 2008 Gradall XL 3100 III (disc. 2011) | 0.57 CY | 0.57 CY | to 184 | Truck Mounted | hour | $215.34 |
| 8288 | Excavator, Truck Mounted | 2003 Gradall XL 4100 III (Disc. 2011) | 0.62 CY | 0.62 CY | to 238 | Truck Mounted | hour | $315.08 |
| 8289 | Excavator, Truck Mounted | 2006 Gradall XL 5100 (disc. 2006) | 1.25 CY | 1.25 CY | to 230 | Truck Mounted | hour | $351.11 |
| 8290 | Trowel, Concrete | Husqvarna 48 in Gasoline Walk Behind Trowel | 48 IN | | to 12 | 48 In | hour | $5.32 |
| 8300 | Forklift | Toyota 50-8FGU30 | 6,000 Lbs | 6,000 Lbs | to 60 | | hour | $21.18 |
| 8301 | Forklift | Toyota 50-8FG50U | 11,000 Lbs | 11,000 Lbs | to 90 | | hour | $24.75 |
| 8302 | Forklift | Toyota 50-8FG80U | 17,500 Lbs | 17,500 Lbs | to 140 | | hour | $29.06 |
| 8303 | Forklift | Taylor TE-450M (disc. 1998) | 45,000 lbs | 50,000 lbs | to 215 | | hour | $90.72 |
| 8306 | Fork Lift material handler | Caterpillar TL 642 | 6,500 lbs | 6,500 LBS | to 74 | | hour | $94.49 |
| 8307 | Fork Lift material handler | Caterpillar TL 943 | 9,000 Lbs | 9,000 Lbs | to 111 | | hour | $116.27 |
| 8308 | Fork Lift material handler | Caterpillar TL1255 | 12,000 lbs | 12,000 lbs | to 134 | | hour | $123.49 |
| 8310 | Generator | Miscellaneous GAS 5,5 KW | 5.5 KW | | | | hour | $6.78 |
| 8311 | Generator | Miscellaneous DIESEL 17 KW | 17 KW | | | | hour | $8.12 |
| 8312 | Generator | Miscellaneous DIESEL 25 KW | 20 KW | | | | hour | $28.15 |
| 8313 | Generator | Miscellaneous DIESEL 40 KW | 40 KW | | | | hour | $41.55 |
| 8314 | Generator | Miscellaneous DIESEL 45 KW | 47.5 kW | | | | hour | $42.45 |
| 8315 | Generator | Miscellaneous DIESEL 100 KW | 100 KW | | | | hour | $62.08 |
| 8316 | Generator | Miscellaneous DIESEL 150 KW | 150 KW | | | | hour | $70.76 |
| 8317 | Generator | Miscellaneous DIESEL 225 KW | 210 KW | | | | hour | $100.05 |
| 8318 | Generator | Miscellaneous DIESEL 300 KW | 280 KW | | | | hour | $119.63 |
| 8319 | Generator | Miscellaneous DIESEL 350 KW | 350 KW | | | | hour | $172.46 |
| 8320 | Generator | Miscellaneous DIESEL 400 KW | 400 KW | | | | hour | $219.49 |
| 8321 | Generator | Miscellaneous DIESEL 500 KW | 500 KW | | | | hour | $392.87 |
| 8322 | Generator | Miscellaneous DIESEL 700 KW | 700 KW | | | | hour | $578.90 |
| 8323 | Generator | Miscellaneous DIESEL 800 KW | 800 KW | | | | hour | $626.66 |
| 8324 | Generator | Miscellaneous DIESEL 900 KW | 900 KW | | | | hour | $685.25 |
| 8325 | Generator | Miscellaneous DIESEL 1000 KW | 1000 KW | | | | hour | $748.86 |
| 8326 | Generator | Caterpillar XQC1200 (Enclosed) | 1150 KW | | | | hour | $778.27 |
| 8327 | Generator | Miscellaneous DIESEL 1500 KW | 1500 KW | | | | hour | $844.15 |
| 8328 | Generator | Generator, 2,500 KW | 2500 KW | | | | hour | $983.59 |
| 8329 | Generator | Cummins QSK95 C3250D6E | 3000 KW | | | | hour | $1,024.88 |
| 8331 | Graders | CAT 120 | 12 Ft | 12 Ft | to 171 | Includes Rigid and Articulate equipment. | hour | $131.96 |
| 8332 | Graders | CAT 140 | 12 FT | 12 FT | to 196 | Includes Rigid and Articulate equipment. | hour | $159.04 |
| 8333 | Graders | CAT 160 | 14 Ft | 14 Ft | to 290 | Includes Rigid and Articulate equipment. | hour | $231.47 |
| 8334 | Graders | CAT 18 | 18 Ft | 18 Ft | to 304 | Includes Rigid and Articulate equipment. | hour | $281.33 |
| 8335 | Widener Attachment | Loader or Grader Propelled | Widener Attachment | 10' Max Spread Width | 49 | | | $10.13 |
| 8350 | Hose, Discharge | Discharge Hose, 3-IN | 3 In Discharge Diameter 50 foot | 3 In Discharge Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.15 |
| 8351 | Hose, Discharge | Discharge Hose, 4-IN | 4 in Discharge Diameter 50 foot | 4 in Discharge Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.23 |
| 8352 | Hose, Discharge | Discharge Hose, 6-IN | 6 In Discharge Diameter 50 foot | 6 In Discharge Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.58 |
| 8353 | Hose, Discharge | Discharge Hose, 8-IN | 8 In Discharge Diameter 50 foot | 8 In Discharge Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.65 |
| 8354 | Hose, Discharge | Discharge Hose, 12-IN | 12 In Discharge Diameter | 12 In Discharge Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.95 |
| 8355 | Hose, Discharge | Discharge Hose, 16-IN | 16 In Discharge Diameter | 16 In Discharge Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $1.79 |
| 8356 | Hose, Suction | Suction Hose - SH-3/25 | 3 In Diameter | 3 In Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.27 |
| 8357 | Hose, Suction | Miscellaneous SH-4/25 | 4 In Diameter | 4 In Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $0.32 |
| 8358 | Hose, Suction | Miscellaneous SH-6/25 | 6 In Diameter | 6 In Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $1.06 |
| 8359 | Hose, Suction | Suction Hose, 8-IN | 8 In Diameter | 8 In Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $1.14 |
| 8360 | Hose, Suction | Suction Hose, 12-IN | 12 In Diameter | 12 In Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $1.72 |
| 8361 | Hose, Suction | Suction Hose, 16-IN | 16 In Diameter | 16 In Diameter | N/A | Per 50 foot length. Includes couplings. | hour | $3.25 |
